"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\Event.java", "Java", 24, 63, 25, 112
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\EventManager.java", "Java", 72, 16, 10, 98
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\CompareListener.java", "Java", 53, 9, 12, 74
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\CopyListener.java", "Java", 37, 8, 11, 56
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\DeleteCellListener.java", "Java", 37, 8, 10, 55
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\EditListener.java", "Java", 63, 16, 13, 92
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\LoadListener.java", "Java", 19, 4, 7, 30
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\LoadProjectListener.java", "Java", 11, 5, 5, 21
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\MergeListener.java", "Java", 40, 8, 8, 56
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\MoveListener.java", "Java", 32, 9, 10, 51
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\OpenElementListener.java", "Java", 56, 9, 20, 85
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\PasteListener.java", "Java", 30, 8, 8, 46
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\PropertiesListener.java", "Java", 19, 0, 10, 29
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\RedoListener.java", "Java", 18, 4, 7, 29
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\RemoveListener.java", "Java", 45, 8, 8, 61
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\RenameListener.java", "Java", 84, 14, 15, 113
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\SaveAllListener.java", "Java", 30, 5, 8, 43
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\SaveAsListener.java", "Java", 66, 8, 10, 84
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\SaveListener.java", "Java", 69, 8, 11, 88
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\ScaleListener.java", "Java", 31, 10, 19, 60
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\SearchListener.java", "Java", 53, 15, 19, 87
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\controller\listeners\UndoListener.java", "Java", 10, 4, 5, 19
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\Command.java", "Java", 6, 12, 5, 23
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\CommandHistory.java", "Java", 67, 44, 16, 127
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\ConflictData.java", "Java", 15, 18, 6, 39
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\CreateLibraryCommand.java", "Java", 22, 16, 6, 44
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\DeleteCommand.java", "Java", 28, 15, 6, 49
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\MergeCommand.java", "Java", 55, 16, 7, 78
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\MoveCommand.java", "Java", 74, 20, 14, 108
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\NameConflictResolver.java", "Java", 67, 24, 7, 98
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\OpenFileCommand.java", "Java", 56, 13, 12, 81
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\PasteCommand.java", "Java", 74, 20, 13, 107
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\RenameCommand.java", "Java", 23, 15, 5, 43
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\ResolutionMethod.java", "Java", 8, 5, 2, 15
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\ScaleCommand.java", "Java", 21, 15, 6, 42
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\commands\TextEditCommand.java", "Java", 68, 28, 10, 106
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\compilers\LibertyCompiler.java", "Java", 140, 35, 10, 185
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\elements\Cell.java", "Java", 455, 95, 64, 614
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\elements\CompareElementByName.java", "Java", 7, 11, 4, 22
"c:\Users\Casper\git\PSE-Report\Implementation Phase\GELF\src\main\java\gelf\model\elements\Element.java", "Java", 42, 4, 15, 61
